iteracion_bayesiana,E1000_c,E1002_c,E5001_c,E5002_c,E5003_c,E5005_c,E5007_c,E5008_c,E5009_c,E5010_c,E5011_c,E5012_c,E5013_c,E5014_c,E5015_c,E5016_c,E5017_c,E5018_c,E5019_c,E5020_c,E5021_c,E5022_c,E5023_c,E5024_c,E5025_c,E5026_c,E5027_c,E5028_c,E5029_c,E5030_c,E5031_c,E5032_c,E5033_c,E5034_c,E5035_c,E5037_c,E5038_c,E5040_c,E1001_a,E1002_a,E1004_a,E1005_a,E1006_a,E1007_a,E1010_a,E1011_a,E1012_a,E1013_a,E1014_a,E1015_a,E1016_a,E1017_a
1,4990000,5683750,4715000,4961250,5476250,5710000,5460000,5151250,6162500,5856250,6111250,6065000,6052500,5903750,6121250,6121250,5971250,5948750,5500000,5695000,5701250,5198750,5712500,4583750,6658750,6356250,5686250,6243750,5696250,6162500,6468750,5705000,6033750,6560000,3733750,4046250,6800750,6663250,5267500,4660000,5480000,5055000,5397500,5721250,6587500,5338750,5955000,6315000,5683750,6208750,6826250,6303750
2,5256250,4918750,4726250,4761250,5372500,5336250,5211250,5083750,6012500,6042500,6061250,6077500,6085000,6110000,5831250,5831250,5897500,5926250,5731250,5835000,5423750,5352500,5480000,5127500,6466250,6006250,6125000,6300000,6265000,6068750,5931250,5657500,6720000,5985000,3930000,4426250,6872000,6756625,5115000,4833750,5438750,5465000,4925000,5810000,6170000,5537500,5888750,5965000,5735000,5608750,6568750,6521250
3,4686250,4386250,4381250,4363750,5595000,4857500,5271250,5087500,6246250,5953750,5966250,5753750,6195000,6038750,5948750,5948750,5733750,5561250,5856250,5945000,5598750,4643750,5253750,5068750,6110000,6457500,6210000,6275000,6020000,5631250,6506250,5885000,5912500,6002500,3640000,4120000,6446750,6797375,4527500,4578750,4926250,4416250,5007500,6078750,5568750,4803750,5770000,5473750,5792500,6143750,6811250,5336250
4,5387500,4778750,4633750,4676250,4901250,4575000,4691250,5242500,5925000,5737500,5713750,5935000,5817500,6100000,5960000,5960000,5627500,6091250,6440000,4948750,5508750,5558750,5235000,4920000,6238750,6367500,5901250,6156250,6582500,6177500,5956250,5806250,5873750,6010000,4173750,4125000,6738000,6766500,5082500,5133750,5140000,5411250,4568750,5818750,5878750,5822500,5547500,5478750,5441250,5525000,6417500,5900000
5,4418750,5161250,4853750,4487500,5828750,5563750,5491250,5880000,6352500,5760000,5913750,5615000,5815000,5998750,6071250,6071250,5818750,5635000,5412500,5320000,5325000,5677500,5215000,4721250,6246250,6328750,6257500,6333750,6476250,5765000,6200000,6028750,5816250,6410000,3795000,3895000,6603875,6109125,4881250,4890000,5768750,5355000,5020000,5587500,5992500,5883750,6021250,5877500,6141250,6086250,6548750,6150000
6,5222500,5226250,5475000,4957500,5401250,5248750,5010000,6046250,6081250,5966250,6043750,5956250,6227500,5896250,5516250,5516250,5893750,5703750,5697500,5682500,5576250,4945000,4886250,5216250,6305000,6211250,6238750,5913750,6325000,5972500,6381250,6223750,6330000,6471250,3986250,4111250,6356500,6343875,4856250,4587500,5456250,5170000,5127500,6001250,5893750,5385000,5598750,5903750,5772500,5952500,6810000,6565000
7,5966250,5172500,5498750,5066250,5538750,5005000,5118750,5140000,6281250,6277500,6337500,6141250,5840000,6086250,5713750,5713750,5887500,5282500,5690000,5382500,5503750,5472500,5106250,4742500,6376250,6253750,5913750,6422500,6247500,5708750,6392500,5803750,5553750,6281250,3791250,4023750,6850750,6744125,5096250,5386250,5323750,5531250,4928750,6138750,6393750,5323750,5720000,5653750,5805000,6291250,6352500,5762500
8,5238750,5350000,4657500,4851250,6081250,5768750,5388750,5822500,6295000,5773750,5932500,6058750,6035000,5871250,6036250,6036250,5732500,6172500,5723750,5545000,5557500,5127500,5083750,5507500,6531250,6246250,6568750,6085000,5971250,5625000,6127500,6542500,6177500,5783750,3996250,4276250,6450000,6257750,5238750,5080000,5698750,5125000,4868750,5695000,5915000,5612500,5578750,5820000,5601250,5973750,6281250,6162500
9,5487500,5540000,4793750,5278750,6037500,5898750,6345000,6027500,6577500,6127500,5935000,5817500,5900000,6023750,5958750,5958750,5828750,5486250,5436250,5798750,5506250,5290000,5313750,5527500,6845000,6411250,6615000,5973750,5730000,5882500,6210000,5867500,6111250,6006250,3625000,3992500,6333750,5423125,5277500,5236250,5738750,4726250,4875000,5516250,6760000,5388750,5828750,5421250,5910000,5606250,6606250,6268750
10,4665000,5307500,5311250,4893750,5587500,6017500,5328750,5447500,6107500,5757500,5933750,5847500,6051250,5882500,6042500,6042500,6043750,5452500,5306250,5273750,5606250,5238750,5293750,4597500,6470000,5963750,6457500,6205000,5587500,6298750,6290000,5885000,6016250,6348750,3825000,4042500,6523750,6544625,5417500,4832500,5350000,5102500,5103750,6107500,6300000,4687500,5630000,5751250,5926250,6517500,6628750,5500000
11,5681250,5776250,5241250,5620000,5261250,5421250,5611250,5923750,6438750,5971250,6155000,5832500,6021250,5962500,5845000,5845000,6285000,5761250,6012500,5282500,5457500,5371250,5032500,5248750,6213750,6463750,6836250,6192500,6458750,5978750,,6356250,6538750,6346250,3775000,4030000,5301375,6108750,5800000,5680000,5500000,5108750,5452500,5647500,6237500,4902500,5945000,5465000,5652500,6075000,6182500,6351250
