numero_de_cliente,Predicted
4572294,1
4572366,1
4572633,1
4572765,1
4572913,1
4572976,1
4573196,1
4573303,1
4573394,1
4573551,1
4573777,1
4574006,1
4574122,1
4574273,1
4574352,1
4574405,1
4574638,1
4574641,1
4574858,1
4575005,1
4575037,1
4575068,1
4575112,1
4575178,1
4575247,1
4575332,1
4575392,1
4575552,1
4575744,1
4575822,1
4575844,1
4575879,1
4575932,1
4576161,1
4576460,1
4576570,1
4576626,1
4576765,1
4576928,1
4576931,1
4577176,1
4577563,1
4577726,1
4577754,1
4577823,1
4577842,1
4577870,1
4578065,1
4578401,1
4578467,1
4578486,1
4578565,1
4578678,1
4578778,1
4578788,1
4579058,1
4579435,1
4579485,1
4579595,1
4579623,1
4579658,1
4579850,1
4579956,1
4580019,1
4580267,1
4580462,1
4580550,1
4581163,1
4581172,1
4581263,1
4581292,1
4581342,1
4581706,1
4581851,1
4581920,1
4581958,1
4582024,1
4582291,1
4582385,1
4582463,1
4582533,1
4582649,1
4582900,1
4583023,1
4583041,1
4583092,1
4583318,1
4583337,1
4583500,1
4583610,1
4583767,1
4583770,1
4584050,1
4584380,1
4584421,1
4584477,1
4584641,1
4584685,1
4584911,1
4585043,1
4585096,1
4585134,1
4585520,1
4585542,1
4585596,1
4585684,1
4585759,1
4585812,1
4585850,1
4585963,1
4586045,1
4586444,1
4586563,1
4586890,1
4586924,1
4587126,1
4587286,1
4587443,1
4587569,1
4587638,1
4587647,1
4588018,1
4588024,1
4588115,1
4588169,1
4588253,1
4588502,1
4588583,1
4588825,1
4588982,1
4589039,1
4589124,1
4589177,1
4589268,1
4589290,1
4589450,1
4589683,1
4589944,1
4589950,1
4589972,1
4590010,1
4590028,1
4590173,1
4590189,1
4590556,1
4590647,1
4590666,1
4591005,1
4591335,1
4591530,1
4591891,1
4591951,1
4592146,1
4592658,1
4592677,1
4592743,1
4592959,1
4592994,1
4593022,1
4593296,1
4593340,1
4593531,1
4593754,1
4593761,1
4593786,1
4593871,1
4593880,1
4594021,1
4594065,1
4594087,1
4594329,1
4594379,1
4594562,1
4594998,1
4595196,1
4595218,1
4595397,1
4595466,1
4595523,1
4595526,1
4595702,1
4595768,1
4596123,1
4596233,1
4596412,1
4596597,1
4596720,1
4597006,1
4597509,1
4597615,1
4597628,1
4597876,1
4597914,1
4598005,1
4598508,1
4598765,1
4599434,1
4599639,1
4599679,1
4599689,1
4599833,1
4600270,1
4600747,1
4600971,1
4601065,1
4601304,1
4601316,1
4601401,1
4601486,1
4601561,1
4601571,1
4601781,1
4601904,1
4602048,1
4602155,1
4602309,1
4602617,1
4602793,1
4602912,1
4602987,1
4603242,1
4603283,1
4603798,1
4603833,1
4603911,1
4604122,1
4604150,1
4604184,1
4604703,1
4604769,1
4605061,1
4605205,1
4605469,1
4605482,1
4605523,1
4605661,1
4605670,1
4605739,1
4606076,1
4606167,1
4606327,1
4606393,1
4606440,1
4606968,1
4607181,1
4607427,1
4607508,1
4607568,1
4607643,1
4607983,1
4607995,1
4608045,1
4608102,1
4608111,1
4608297,1
4608441,1
4608466,1
4608514,1
4608517,1
4608702,1
4608784,1
4608859,1
4608865,1
4608872,1
4608950,1
4608963,1
4609019,1
4609142,1
4609176,1
4609425,1
4609538,1
4609541,1
4609594,1
4609864,1
4610182,1
4610279,1
4610329,1
4610345,1
4611143,1
4611162,1
4611407,1
4611467,1
4611476,1
4611602,1
4611652,1
4611793,1
4611928,1
4612136,1
4612189,1
4612199,1
4612290,1
4612387,1
4612425,1
4612532,1
4612601,1
4612626,1
4612673,1
4612682,1
4612739,1
4612861,1
4613210,1
4613342,1
4613383,1
4613468,1
4613559,1
4613892,1
4614187,1
4614212,1
4614470,1
4614583,1
4614932,1
4615149,1
4615403,1
4615412,1
4615485,1
4615544,1
4615554,1
4615576,1
4615771,1
4615947,1
4615984,1
4616069,1
4616361,1
4616430,1
4616440,1
4616503,1
4616609,1
4616650,1
4616936,1
4617008,1
4617282,1
4617423,1
4617577,1
4617583,1
4617747,1
4617989,1
4618149,1
4618300,1
4618303,1
4618507,1
4618705,1
4618749,1
4618862,1
4618874,1
4618972,1
4619223,1
4619255,1
4619764,1
4619883,1
4620272,1
4620316,1
4620442,1
4620486,1
4620565,1
4620747,1
4620976,1
4621039,1
4621089,1
4621102,1
4621567,1
4621859,1
4621862,1
4621900,1
4622183,1
4622220,1
4622223,1
4622318,1
4622359,1
4622402,1
4622418,1
4622717,1
4622720,1
4622820,1
4622946,1
4623276,1
4623442,1
4623502,1
4623593,1
4624008,1
4624112,1
4624177,1
4624275,1
4624407,1
4624451,1
4624529,1
4624564,1
4624636,1
4624862,1
4624900,1
4624931,1
4624969,1
4625249,1
4625286,1
4625318,1
4625663,1
4625767,1
4626056,1
4626383,1
4626534,1
4626556,1
4627423,1
4627721,1
4627724,1
4627850,1
4628340,1
4628821,1
4629191,1
4629201,1
4629521,1
4629600,1
4630256,1
4630376,1
4631007,1
4631020,1
4631208,1
4631343,1
4631469,1
4631501,1
4631519,1
4631645,1
4631937,1
4631959,1
4632091,1
4632176,1
4632233,1
4632286,1
4632468,1
4632666,1
4632741,1
4632745,1
4633379,1
4633392,1
4633951,1
4634086,1
4634089,1
4634488,1
4634699,1
4634790,1
4634799,1
4634849,1
4634909,1
4634966,1
4635330,1
4635352,1
4635399,1
4635450,1
4635867,1
4636009,1
4636191,1
4636204,1
4636351,1
4636383,1
4636405,1
4636706,1
4636904,1
4636907,1
4637067,1
4637212,1
4637630,1
4637743,1
4637847,1
4638227,1
4638959,1
4639000,1
4639040,1
4639097,1
4639119,1
4639138,1
4639150,1
4639235,1
4639505,1
4639549,1
4639574,1
4639631,1
4640127,1
4640240,1
4640272,1
4640391,1
4640551,1
4640602,1
4640630,1
4640743,1
4640925,1
4640928,1
4641016,1
4641123,1
4641239,1
4641268,1
4641334,1
4641365,1
4641447,1
4641554,1
4641579,1
4641585,1
4641607,1
4641664,1
4641686,1
4641714,1
4641852,1
4641902,1
4642059,1
4642524,1
4642600,1
4642622,1
4643615,1
4643737,1
4643948,1
4643957,1
4644108,1
4644123,1
4644139,1
4644274,1
4644598,1
4644705,1
4644724,1
4645000,1
4645283,1
4645496,1
4645977,1
4646081,1
4646225,1
4646228,1
4646841,1
4646995,1
4647347,1
4647636,1
4647837,1
4648010,1
4648145,1
4648170,1
4648192,1
4648233,1
4648550,1
4648559,1
4648597,1
4648622,1
4648660,1
4648707,1
4648710,1
4648833,1
4649304,1
4649750,1
4649753,1
4649835,1
4650259,1
4650341,1
4650608,1
4650724,1
4651104,1
4651139,1
4651465,1
4651494,1
4651676,1
4651817,1
4651855,1
4651883,1
4651902,1
4651996,1
4652116,1
4652430,1
4652436,1
4652577,1
4652687,1
4652826,1
4652876,1
4653112,1
4653300,1
4653633,1
4653850,1
4653884,1
4654123,1
4654456,1
4654544,1
4654720,1
4654949,1
4655088,1
4655132,1
4655135,1
4655138,1
4655207,1
4655471,1
4655483,1
4655606,1
4655663,1
4655678,1
4655681,1
4655688,1
4655835,1
4655892,1
4655898,1
4655974,1
4656197,1
4656338,1
4656344,1
4656373,1
4656426,1
4656542,1
4656743,1
4656756,1
4656916,1
4657214,1
4657362,1
4657607,1
4657613,1
4657620,1
4657921,1
4657934,1
4658006,1
4658292,1
4658301,1
4658744,1
4659326,1
4659379,1
4659596,1
4659599,1
4659677,1
4659728,1
4659747,1
4659794,1
4659989,1
4660180,1
4660190,1
4660300,1
4660318,1
4660413,1
4660730,1
4660742,1
4661054,1
4661097,1
4661189,1
4661616,1
4661698,1
4661845,1
4661851,1
4662364,1
4662474,1
4662477,1
4662640,1
4662741,1
4662788,1
4662797,1
4663234,1
4663350,1
4663413,1
4663551,1
4663762,1
4664079,1
4664255,1
4664258,1
4664346,1
4664578,1
4664607,1
4664726,1
4664861,1
4664980,1
4665288,1
4665405,1
4665464,1
4665851,1
4665882,1
4666231,1
4666347,1
